title,director,cast,country,duration
Slam,Andrea Molaioli,"Ludovico Tersigni, Jasmine Trinca, Luca Marinelli, Barbara Ramella, Gianluca Broccatelli, Pietro Ragusa, Fiorenza Tessari",Italy,99 min
Slasher,,"Katie McGrath, Brandon Jay McLaren, Steve Byers, Patrick Garrow, Dean McDermott, Christopher Jacot, Wendy Crewson, Leslie Hope, Lovell Adams-Gray, Jim Watson, Paulino Nunes, Ty Olsson, Joanne Vannicola, Sebastian Pigott, Madison Cheeatow, Melinda Shankar, Kaitlyn Leeb, Rebecca Liddiard, Paula Brancati, Salvatore Antonio, Lisa Berry, Gabriel Darku, Erin Karpluk, Mercedes Morris, Ilan Muallem, Baraka Rahmani, Rosie Simon, Robert Cormier",Canada,3 Seasons
Sleeping with Other People,Leslye Headland,"Jason Sudeikis, Alison Brie, Adam Scott, Jason Mantzoukas, Natasha Lyonne, Adam Brody, Amanda Peet",United States,101 min
Sleepless Society: Bedtime Wishes,,"Shahkrit Yamnarm, Savika Chaiyadej, Supoj Chancharoen, Pairoj Sangwariboot, Suchao Pongwilai, Nataya Chanrung, Papangkorn Lerkchaleampote, Suchada Tongam, Sasin Chow",,1 Season
Sleepless Society: Insomnia,"Pantham Thongsang, Cheewatan Pusitsuksa","Chutimon Chuengcharoensukying, Sutthirak Subvijitra, Nutthasit Kotimanuswanich, Sita Maharavidejakorn, Sutthatip Wutichaipradit, Warisara Yu, Chokchai Charoensuk, Supoj Pongpancharoen, Nikorn Sae Tang, Gandhi Wasuwitchayagit, Petchpatchara Kitkrairaj, Duangjai Hirunsri, Nilacha Fuangfukiet, Teeranai Na Nongk้hai, Sumontha Suanpolrat, Wimolphan Chaleejunghan, Damkerng Thitapiyasak, Natthawara Hongsuwan, Nunthapak Chalermpuwadej, Tachatorn Supanan",Thailand,1 Season
Sleepless Society: Nyctophobia,,"Chermarn Boonyasak, Nattapat Nimjirawat, Jason Young, Matthew Deane Chanthavanij, Inthira Charoenpura, Natharinee Kanasoot",Thailand,1 Season
Sleepless Society: Two Pillows & A Lost Soul,Sivaroj Kongsakul,"Numthip Jongrachatawiboon, Vorarit Fuangarom, Bhumibhat Thavornsiri, Thanongsak Suphakan, Kanjanaporn Plodpai, Tosatid Darnkhuntod, Boonsong Nakphoo, Arachaporn Pokinpakorn, Annita Sarucha, Chidsanupong Sakulnuntipat, Nisawan Silpapearsue, Porntip Tipsiri, Thana Srisuke",Thailand,1 Season
Sleepover,Joe Nussbaum,"Alexa PenaVega, Mika Boorem, Jane Lynch, Sam Huntington, Sara Paxton, Brie Larson, Scout Taylor-Compton, Douglas Smith, Katija Pevec, Steve Carell, Jeff Garlin",United States,89 min
Sling Blade,Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe",United States,135 min
Sliver,Phillip Noyce,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis",United States,107 min
Slobby's World,,Robert Hall,United States,1 Season
Slow Country,Eric Aghimien,"Ivie Okujaye, Sambasa Nzeribe, Tope Tedela, Gina Castel, Majid Michel, Victor Erabie, Brutus Richard, Adebayo Thomas",Nigeria,115 min
Slow West,John Maclean,"Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn, Caren Pistorius, Rory McCann, Andrew Robertt, Edwin Wright, Kalani Queypo","United Kingdom, New Zealand",84 min
Small Crimes,Evan Katz,"Nikolaj Coster-Waldau, Gary Cole, Molly Parker, Macon Blair, Pat Healy, Jacki Weaver, Robert Forster","Canada, United States",95 min
Small Soldiers,Joe Dante,"Kirsten Dunst, Gregory Smith, Jay Mohr, Phil Hartman, Kevin Dunn, Denis Leary, Frank Langella, Tommy Lee Jones, Ernest Borgnine",United States,110 min
Small Town Crime,"Ian Nelms, Eshom Nelms","John Hawkes, Anthony Anderson, Octavia Spencer, Robert Forster, Clifton Collins Jr., Jeremy Ratchford, James Lafferty, Michael Vartan, Daniel Sunjata, Don Harvey, Stefanie Scott, Caity Lotz, Dale Dickey",United States,92 min
Smart People,Noam Murro,"Dennis Quaid, Sarah Jessica Parker, Thomas Haden Church, Ellen Page, Ashton Holmes, Christine Lahti, Camille Mana, David Denman, Don Wadsworth, Robert Haley",United States,95 min
Smash: Motorized Mayhem,,,United States,66 min
Smoke & Mirrors,Alberto Rodríguez,"Eduard Fernández, José Coronado, Marta Etura, Carlos Santos, Enric Benavent, Philippe Rebbot, Israel Elejalde, Tomás del Estal, Emilio Gutiérrez Caba",Spain,123 min
Smoking,,"Ryo Ishibashi, Nobuaki Kaneko, Tomomi Maruyama, Kaito Yoshimura",Japan,1 Season
SMOSH: The Movie,Alex Winter,"Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Jillian Nelson, Brittany Ross, Michael Ian Black, Steve Austin",United States,83 min
Sneakerheads,,"Allen Maldonado, Andrew Bachelor, Jearnest Corchado, Matthew Josten, Yaani King Mondschein, Justin Lee, Aja Evans",United States,1 Season
Sniper: Special Ops,Fred Olen Ray,"Steven Seagal, Rob Van Dam, Tim Abell, Charlene Amoia, Daniel Booko, Jason-Shane Scott, Anthony Batarse, Gerald Webb",United States,86 min
Snow Day,Chris Koch,"Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk, Iggy Pop, Pam Grier, John Schneider, Chevy Chase, Zena Grey, Josh Peck",United States,89 min
Snowden,Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Zachary Quinto, Melissa Leo, Tom Wilkinson, Timothy Olyphant, Nicolas Cage, Rhys Ifans, Joely Richardson, Scott Eastwood, Ben Schnetzer, Logan Marshall-Green","United Kingdom, France, Germany, United States",134 min
Snowpiercer,Bong Joon Ho,"Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill, Adnan Haskovic, Vlad Ivanov, Ko A-sung, Luke Pasqualino","South Korea, Czech Republic",126 min
So Much Love to Give,Marcos Carnevale,"Adrián Suar, Soledad Villamil, Gabriela Toscano, Alan Sabbagh, Darío Barassi, Magela Zanotta, Betiana Blum",Argentina,108 min
Socha Na Tha,Imtiaz Ali,"Abhay Deol, Ayesha Takia, Apoorva Jha, Ayesha Jhulka, Rati Agnihotri, Sandhya Mridul, Suresh Oberoi, Manish Chaudhary",India,137 min
Social Animals,Jonathan Ignatius Green,,United States,87 min
Social Distance,,"Danielle Brooks, Oscar Nuñez, Mike Colter, Heather Burns, Okieriete Onaodowan, Ajay Naidu, Shakira Barrera, Steven Weber, Helena Howard, Daphne Rubin-Vega, Guillermo Díaz, Miguel Sandoval, Camila Perez, Gianna Aragon, Tom Costanzo, Luca Costanzo, Olli Haaskivi, Marsha Stephanie Blake, Isabella Ferreira, Rocco Luna, Larita Brooks, Misha Brooks, Liam Foley, Zoë Verbil, Anthony Norman, Brian Jordan Alvarez, Max Jenkins, Peter Vack, Rana Roy, Peter Scanavino, Ali Ahn, Tami Sagher, Barbara Rosenblat, Michael Mulheren, Leo Bai-Scanavino, Becky Ann Baker, Dylan Baker, Marcia DeBonis, Raymond Anthony Thomas, Sunita Mani, Kylie Liya Page, David Iacono, Lachlan Riley Watson, Niles Fitch, Will Meyers, Ava DeMary, Lydia Look, Asante Blackk, Ayize Ma'at, Lovie Simone",United States,1 Season
Soekarno,Hanung Bramantyo,"Ario Bayu, Lukman Sardi, Maudy Koesnaedi, Tanta Ginting, Tika Bravani, Emir Mahira, Sujiwo Tedjo, Ayu Laksmi, Matias Muchus",Indonesia,142 min
Sofía Niño de Rivera: Exposed,"Raúl Campos, Jan Suter",Sofía Niño de Rivera,Mexico,80 min
Sofía Niño de Rivera: Selección Natural,"Raúl Campos, Jan Suter",Sofía Niño de Rivera,Mexico,62 min
Sofia the First,,"Ariel Winter, Darcy Rose Byrnes, Sara Ramirez, Tim Gunn, Coco Grayson, Travis Willingham, Wayne Brady, Jess Harnell, Meghan Strange, Zach Callison",United States,4 Seasons
Sohni Mahiwal,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","India, Soviet Union",160 min
Sol Levante,Akira Saitoh,,Japan,5 min
Soldier,Abbas Mustan,"Rakhee Gulzar, Bobby Deol, Preity Zinta",India,155 min
Solo,Hugo Stuven,"Alain Hernández, Aura Garrido, Ben Temple",Spain,91 min
Solo Con Tu Pareja,Alfonso Cuarón,"Luis de Icaza, Dobrina Liubomirova, Isabel Benet, Claudia Fernandez, Luz María Jerez, Claudia Ramírez, Astrid Hadad, Toshiro Hisaki, Daniel Giménez Cacho, Carlos Nakasone, Ricardo Dalmacci, Nevil Wilton, John Keyser, Raúl Valerio, Monserrat Ontiveros, Daniel Gimenez Cacho",Mexico,94 min
Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany",United States,135 min
Solo: A Star Wars Story (Spanish Version),Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany",United States,135 min
Solomon Kane,Michael J. Bassett,"James Purefoy, Pete Postlethwaite, Rachel Hurd-Wood, Alice Krige, Jason Flemyng, Mackenzie Crook, Patrick Hurd-Wood, Max von Sydow","Czech Republic, United Kingdom, France",104 min
Some Assembly Required,,"Kolton Stewart, Harrison Houde, Charlie Storwick, Sydney Scotia, Travis Turner, Ellie Harvie, Dylan Playfair",Canada,2 Seasons
Some Freaks,Ian MacAllister-McDonald,"Thomas Mann, Lily Mae Harrington, Ely Henry, Lachlan Buchanan, Marin Ireland, John Thorsen, Stephen Thorne, Shannon Hartman",United States,97 min
Somebody Feed Phil,,Philip Rosenthal,United States,4 Seasons
Someone Great,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove",United States,92 min
Someone Has to Die,Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira","Mexico, Spain",1 Season
Someone Like You,,"Kingone Wang, Lorene Ren, Sean Lee, Nita Lei, William Liao",Taiwan,1 Season
Something Huge,Carlo Padial,"Berto Romero, Carolina Bang, Javier Botet, Carlos Areces, Miguel Noguera, Toni Sevilla",Spain,87 min
Something in the Rain,,"Son Ye-jin, Jung Hae-in, Jang So-yeon",South Korea,1 Season
Something's Gotta Give,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin",United States,128 min
Sometimes,Priyadarshan,"Prakash Raj, Shreya Reddy, Ashok Selvan",India,101 min
Somewhere Between,,"Paula Patton, Devon Sawa, JR Bourne, Aria Birch, Catherine Barroll, Samantha Ferris, Imogen Tear, Daniel Bacon, Carmel Amit, Noel Johansen, Rebecca Staab",United States,1 Season
Somewhere Only We Know,,"Zhang Chao, Li Tingting, Chen Bohao, Sun Jialing, Zhang Zhang, Li Jiuxiao, Deng Yuli, Li Huan, Fang Wenqiang, Gong Rui",China,1 Season
Sommore: Chandelier Status,Kevin Layne,Sommore,United States,77 min
Sommore: The Reign Continues,Kevin Layne,Sommore,United States,93 min
Son of a Gun,Julius Avery,"Ewan McGregor, Brenton Thwaites, Alicia Vikander, Jacek Koman, Matt Nable, Tom Budge, Eddie Baroo, Nash Edgerton","Australia, United Kingdom, Canada",109 min
Son Of Adam,Ahmed Nader Galal,"Youssef El Sherif, Dina El-Sherbiny, Ahmad Rizq, Hana El Zahed, Mahmoud El Gendy, Bayyumi Fuad, Khaled Kamal, Mahmoud El-Bazzawy",Egypt,110 min
Song Exploder,,Hrishikesh Hirway,United States,2 Seasons
Soni,Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Mohinder Gujral, Mohit Chauhan, Vikas Shukla, Gauri Chakraborty, Simrat Kaur, Dimple Kaur",India,97 min
Sonic X,,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",Japan,2 Seasons
Sons of Ben,Jeffrey C. Bell,,United States,73 min
Sons of the Caliphate,,"Yakubu Mohammed, Paul Sambo, Mofe Duncan, Nita Byack George, Yvonne Hays, Mickey Odey, Rahama Sadau, Sani Muazu",Nigeria,2 Seasons
Soorma,Shaad Ali,"Diljit Dosanjh, Tapsee Pannu, Angad Bedi, Kulbhushan Kharbanda, Satish Kaushik, Vijay Raaz, Seema Kaushal, Mahabir Bhullar, Alka Badola Kaushal, Jimmy Moses",India,131 min
Sorry To Disturb,Khaled Marei,"Ahmed Helmy, Mahmoud Hemeida, Menna Shalaby, Dalal Abdelaziz, Mohamed Sharaf, Tarek El Tilmisany, Mohammed El Sadaany, Samy Maghawry, Ahmed Fouad Selim, Ahmed Ramah",Egypt,116 min
Sotus The Series,,"Sangpotirat Perawat, Ruangroj Prachaya",Thailand,1 Season
Soul Eater,,"Chiaki Omigawa, Laura Bailey, Emiri Kato, Kouki Uchiyama, Micah Solusod, Yumiko Kobayashi, Brittney Karbowski, Mamoru Miyano, Todd Haberkorn, Kaori Nazuka, Monica Rial, Akeno Watanabe, Jamie Marchi, Narumi Takahira, Cherami Leigh, Houko Kuwashima",Japan,1 Season
Soul Robbers,Juan Antonio de la Riva,"Sofía Sisniega, Natasha Dupeyron, Ana Sofía Durán, Javier Escobar, Luis Gatica, Juan Ángel Esparza, Jorge Luis Moreno, Arnulfo Reyes Sanchez, Tizoc Arroyo, José Enot, Ricardo Dalmacci, Harding Junior, Claudine Sosa, Pablo Valentín",Mexico,88 min
Soul Surfer,Sean McNamara,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood, Kevin Sorbo, Ross Thomas, Chris Brochu, Lorraine Nicholson, Jeremy Sumpter, Sonya Balmores, Craig T. Nelson, Mark Kubr, Kim Morgan Greene, Titus Kinimaka, Branscombe Richmond, Sonya Balmores Chung, Kimberly-Rose Wolter, John Philbin, David Chokachi, Wesley Mann",United States,106 min
Soul to Keep,"David Allensworth, Monière","Sandra Mae Frank, Aurora Heimbach, Craig Fogel, Tony Spitz, Jordan Theodore, Kate Rose Reynolds, Jessie Jordan, Derek Long, Sophia Getz, Amelia Sheeler",United States,94 min
Soundtrack,,"Paul James, Callie Hernandez, Marianne Jean-Baptiste, Jenna Dewan, Jahmil French, Megan Ferguson, Madeleine Stowe, Campbell Scott, Isaiah Givens",United States,1 Season
Sour Grapes,"Jerry Rothwell, Reuben Atlas",,United Kingdom,85 min
Southern Survival,,,United States,1 Season
Space Cowboys,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Rade Serbedzija, Barbara Babcock, Blair Brown",United States,130 min
Space Force,,"Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers, Tawny Newsome, Jimmy O. Yang, Don Lake, Lisa Kudrow, Fred Willard, Spencer House, Owen Daniels, Hector Duran, Chris Gethard, Aparna Nancherla",United States,1 Season
Space Jungle,,"Kim Min-hee, Park Yoon-hee, Sun Sung-wook",,2 Seasons
Space Racers,,"Yuri Lowenthal, Meyer DeLeeuw, Johnny Yong Bosch, Phil Lollar, Alicyn Packard, Melissa Hutchison, Joseph J. Terry, Danny Katiana, Katie Leigh",United States,1 Season
Spanish Affair 2,Emilio Martínez Lázaro,"Dani Rovira, Clara Lago, Karra Elejalde, Carmen Machi, Belén Cuesta, Berto Romero, Rosa María Sardà, Alfonso Sánchez, Alberto López, Josep Maria Riera",Spain,107 min
Spark,,"Jong-chan Na, Bo-ra Nam, Da-young Joo, Yeo One, Ki-sung Bae, Jin-joo Park, Eun-soo Kwon",South Korea,1 Season
Sparkle,Sam O'Steen,"Tony King, Mary Alice, Irene Cara, Dorian Harewood, Paul Lambert, Beatrice Winde, Lonette McKee",United States,98 min
Sparring,Samuel Jouy,"Mathieu Kassovitz, Olivia Merilahti, Souleymane M'Baye, Billie Blain, Malik Bine, Zakariya Gouram, Jolente De Keersmaeker, Lyes Salem, Ali Labidi, David Saracino",France,94 min
Sparta,,"Alexander Petrov, Artyom Tkachenko, Valeria Shkirando, Marina Kaletskaya, Alisa Lozovskaya, Olga Sutulova, Fillip Gorenshtein, Olga Vinichenko, Petar Zakavitsa, Yan Gakharmanov",Russia,1 Season
Spartacus,,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel",United States,4 Seasons
Special,,"Ryan O'Connell, Jessica Hecht, Punam Patel, Marla Mindelle, Augustus Prew, Patrick Fabian",United States,1 Season
Special 26,Neeraj Pandey,"Akshay Kumar, Manoj Bajpayee, Anupam Kher, Jimmy Shergill, Kajal Aggarwal, Divya Dutta, Kharaj Mukherjee, Rajesh Sharma, Kishore Kadam, Neeru Bajwa, Deep Raj Rana, Neetu Singh",India,137 min
Special Correspondents,Ricky Gervais,"Eric Bana, Ricky Gervais, Vera Farmiga, Kelly Macdonald, Kevin Pollak, America Ferrera, Raúl Castillo, Benjamin Bratt","Canada, United Kingdom, United States",101 min
Spectral,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini, Clayne Crawford, Cory Hardrict, Louis Ozawa Changchien, Jimmy Akingbola, Dylan Smith, Philip Bulcock","United States, Hungary",108 min
Spectros,,"Danilo Mesquita, Cláudia Okuno, Mariana Sena, Enzo Barone, Drop Dashi, Miwa Yanagizawa, Carlos Takeshi, Daniel Rocha, Kelzy Ecard, Norival Rizzo, Nicolas Trevijano, Jui Huang, Jimmy Wong, Fania Espinosa, Wallie Ruy, Begê Muniz, Antonio Miano, Ricardo Iazzetta, Mayhara Ribeiro, Jairo Mattos",Brazil,1 Season
Speech & Debate,Dan Harris,"Liam James, Sarah Steele, Austin McKenzie, Roger Bart, Janeane Garofalo, Wendi McLendon-Covey, Kal Penn, Kimberly Williams-Paisley, Skylar Astin, Edgar Arreola, Sarah Baker",United States,96 min
Speed Is My Need,Mark Sloper,,United Kingdom,75 min
Spelling the Dream,Sam Rega,,United States,83 min
Spenser Confidential,Peter Berg,"Mark Wahlberg, Winston Duke, Alan Arkin, Bokeem Woodbine, Iliza Shlesinger, Hope Olaide Wilson, Marc Maron",United States,111 min
SPF-18,Alex Israel,"Carson Meyer, Noah Centineo, Bianca Santos, Jackson White, Sean Russel Herman, Rosanna Arquette, Molly Ringwald, Pamela Anderson, Keanu Reeves, Goldie Hawn",United States,75 min
Spice Up,,"Jeanette Aw, Patrick Lee, Huang Qi Ming, Sora Ma, Hong Huifang, Xu Bin, Chen Shucheng",,1 Season
Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks",United States,139 min
Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Bob Persichetti","Shameik Moore, Jake Johnson, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Mahershala Ali, Lily Tomlin, Kathryn Hahn, Liev Schreiber, Kimiko Glenn, Nicolas Cage, John Mulaney",United States,117 min
Spinning Out,,"Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir",United States,1 Season
Spirit Riding Free: Pony Tales,,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Gabriella Graves, Duncan Joiner, Nolan North",United States,2 Seasons
Spirit Riding Free: Ride Along Adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton","Amber Frank, Bailey Gambertoglio, Sydney Park, Katey Sagal, Rachel Kimsey, Darcy Rose Byrnes, Duncan Joiner, Bella Aboulhosn, Kai Scott",United States,79 min
Spirit Riding Free: Riding Academy,,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Rhys Darby",United States,2 Seasons
Spirit Riding Free: Spirit of Christmas,,"Amber Frank, Bailey Gambertoglio, Sydney Park, Evan Agos, Kay Bess, Darcy Rose Byrnes, David Faustino, Gabriella Graves, Duncan Joiner, Katherine McNamara, Nolan North, Tiya Sircar",United States,46 min
Spirit: Riding Free,,"Amber Frank, Sydney Park, Bailey Gambertoglio, Darcy Rose Byrnes, Nolan North, Kari Wahlgren, Andy Pessoa, Tiya Sircar, Jonathan Craig WIlliams, Robert Knepper",United States,8 Seasons
Spiritual House,,"Hiroyuki Ehara, Miki Sumiyoshi, Sato Kondo, Kazuhiro Kiyohara, Noriko Sakai, Moe Oshikiri, Homare Sawa, Mariko Hayashi",,1 Season
Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",Charles Dance,United Kingdom,95 min
Spivak,"Anthony Abrams, Adam Larson Broder","Michael Bacall, Maggie Lawson, Elden Henson, Robert Kazinsky, Mark Webber, Chloe Wepper",United States,92 min
Splash and Bubbles,,"John Tartaglia, Leslie Carrara-Rudolph, Raymond Carr, Aymee Garcia",United States,2 Seasons
Splatter,Joe Dante,"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",United States,29 min
Spookley and the Christmas Kittens,Bernie Denk,"Vlasta Vrana, Sonja Ball, Craig Francis, Richard C. Jones, Michael Perron, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin, Daniel Brochu",United States,45 min
Spookley the Square Pumpkin,Bernie Denk,"Sonja Ball, Craig Francis, Rick Jones, Michel Perron, Holly Gauthier-Frankel, Norman Groulx, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin",United States,47 min
Spotless,,"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle","United Kingdom, France",1 Season
Spotlight,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery, Brian d'Arcy James, Stanley Tucci, Billy Crudup, Paul Guilfoyle, Jamey Sheridan",United States,129 min
Spring Breakers,Harmony Korine,"James Franco, Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine, Jeff Jarrett, Gucci Mane, Heather Morris, Ash Lendzion, Emma Holzer","United States, France",94 min
Springsteen on Broadway,Thom Zimny,Bruce Springsteen,United States,153 min
Sprinter,Storm Saulter,"Dale Elliott, Kadeem Wilson, Dennis Titus, David Alan Grier, Shantol Jackson, Lorraine Toussaint, Bryshere Gray, Quera South, Aiden Moodie","Jamaica, United States",112 min
Spy Kids,Robert Rodriguez,"Antonio Banderas, Carla Gugino, Alan Cumming, Teri Hatcher, Cheech Marin, Danny Trejo, Robert Patrick, Tony Shalhoub, Alexa PenaVega, Daryl Sabara",United States,88 min
Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,"Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara, Steve Buscemi, Mike Judge, Danny Trejo, Cheech Marin, Matt O'Leary, Emily Osment, Ricardo Montalban, Holland Taylor, Alan Cumming",United States,100 min
Spy Kids 3: Game Over,Robert Rodriguez,"Daryl Sabara, Sylvester Stallone, Ricardo Montalban, Alexa PenaVega",United States,83 min
Spy Kids: All the Time in the World,Robert Rodriguez,"Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook, Jeremy Piven, Alexa PenaVega, Daryl Sabara, Ricky Gervais, Danny Trejo",United States,88 min
Spy Kids: Mission Critical,,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino","United States, Canada",2 Seasons
Spy Time,Javier Ruiz Caldera,"Imanol Arias, Quim Gutiérrez, Alexandra Jiménez, Berto Romero, Carlos Areces, Eduardo Gómez, Dani El Rojo, Emilio Gutiérrez Caba, Rossy de Palma, Sílvia Abril",Spain,93 min
Spyder,A.R. Murugadoss,"Mahesh Babu, Rakul Preet Singh, S.J. Surya, Bharath Srinivasan, Priyadarshi Pullikonda, RJ Balaji",India,140 min
St. Agatha,Darren Lynn Bousman,"Sabrina Kern, Carolyn Hennesy, Courtney Halverson, Shaun Fletcher, Lindsay Seim, Hannah Fierman, Trin Miller, Seth Michaels, Justin Miles",United States,103 min
Staged Killer,Christopher Ray,"Chrishell Hartley, Jason Dolley, Darrin Dewitt Henson, Nicole Bilderback, Charlie O'Connell, Chasty Ballesteros, Lyman Chen, Declan Joyce, Frank Rossi, Josh Nuncio",United States,88 min
Stand Up and Away! with Brian Regan,,Brian Regan,United States,1 Season
Standoff,Adam Alleca,"Thomas Jane, Laurence Fishburne, Joanna Douglas, John Tench, Ted Atherton, Jim Watson, Ella Ballentine",Canada,86 min
Star Men,Alison E. Rose,,"Canada, United States, United Kingdom",88 min
Star Trek,,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols, James Doohan, George Takei, Walter Koenig, Grace Lee Whitney, Majel Barrett",United States,3 Seasons
Star Trek: Deep Space Nine,,"Avery Brooks, Nana Visitor, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Armin Shimerman, Terry Farrell, Michael Dorn",United States,7 Seasons
Star Trek: Enterprise,,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating, Anthony Montgomery, Linda Park, Connor Trinneer",United States,4 Seasons
Star Trek: The Next Generation,,"Patrick Stewart, Jonathan Frakes, LeVar Burton, Michael Dorn, Marina Sirtis, Brent Spiner, Gates McFadden, Majel Barrett, Wil Wheaton",United States,7 Seasons
Star Trek: Voyager,,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Jennifer Lien, Robert Duncan McNeill, Ethan Phillips, Robert Picardo, Tim Russ, Jeri Ryan, Garrett Wang, Tarik Ergin",United States,7 Seasons
Star Wars: Episode VIII: The Last Jedi,Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Frank Oz, Benicio Del Toro, Warwick Davis, Noah Segan, Jimmy Vee, Joonas Suotamo, Joseph Gordon-Levitt, Tim Rose, Paul Kasey, Matthew Sharp, Adrian Edmondson, Amanda Lawrence, Justin Theroux",United States,152 min
Star-Crossed,,"Aimee Teegarden, Matt Lanter, Grey Damon, Malese Jow, Greg Finley, Natalie Hall, Titus Makin Jr., Chelsea Gilligan",United States,1 Season
StarBeam,,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Diana Kaarina",United States,2 Seasons
StarBeam: Halloween Hero,Jon Izen,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Laara Sadiq",Canada,33 min
